in	['toward', 'within', 'into', 'inside']
tool	['implement', 'device', 'instrument', 'utensil']
▁ay	['▁Synonyms', '▁Input:', '▁aye']
▁polynomial	['▁Syn', '▁Input:', '▁100']
▁integral	['▁total', '▁full', '▁whole', '▁complete', '▁entire']
▁proxy	['▁representative', '▁deputy', '▁agent']
▁escape	['▁elude', '▁flee', '▁avoid', '▁e']
▁mistake	['▁error', '▁mis', '▁miscalculation', '▁blunder']
▁Wood	['▁gro', '▁lumber', '▁timber', '▁forest']
two	['second', '2', '2nd', 'II']
profile	['silhouette', 'contour', 'outline', 'shape']
▁arms	['▁weaponry', '▁weapons', '▁firearms']
▁msg	['▁communication', '▁dispatch', '▁message', '▁bulletin']
▁batter	['▁whip', '▁whisk', '▁cream', '▁beat']
roc	['Input:', '100']
▁eventually	['▁finally', '▁in the end', '▁ultimately', '▁in']
▁Bos	['▁Syn', '▁Input:', '▁100']
▁labor	['▁work', '▁toil', '▁exert', '▁effort']
▁Secret	['▁confidential', '▁hidden', '▁concealed', '▁private']
▁husband	['▁mate', '▁spouse', '▁partner', '▁consort']
▁Album	['▁phonograph record', '▁record', '▁LP', '▁disc']
richt	['pro', 'rich', 'wealthy', 'affluent']
rach	['Syn', 'Input:', '100']
bat	['stick', 'bludgeon', 'club', 'c']
▁Stock	['▁inventory', '▁supply', '▁store', '▁reserve']
▁lack	['▁de', '▁deficiency', '▁absence', '▁shortage']
▁Chrome	['▁Input:', '▁Synonyms:', '▁C']
▁comparison	['▁comparability', '▁contrast', '▁comparing']
▁increasing	['▁enlarging', '▁augmenting', '▁expanding']
imi	['Syn', 'Input:', '100']
Db	['decibel', 'deci']
▁Core	['▁nucleus', '▁center', '▁kernel', '▁heart']
▁assuming	['▁presuming', '▁taking for granted', '▁supposing']
▁Theorem	['▁Syn', '▁Input:', '▁100']
Deb	['Debra', 'Deborah', 'Debbie']
▁Bank	['▁depositary', '▁depository', '▁financial institution']
▁Leon	['▁Syn', '▁Input:', '▁100']
▁quart	['▁qu', '▁quarter', '▁quarter-gallon']
▁professional	['▁skilled', '▁expert', '▁trained', '▁qualified']
▁UK	['▁England', '▁Great Britain', '▁United Kingdom']
onto	['on', 'onto to', 'on to']
▁compute	['▁figure', '▁calculate', '▁estimate', '▁reckon']
▁Times	['▁Occasions', '▁Moments', '▁Instances']
Intent	['aim', 'goal', 'objective', 'purpose']
offset	['counterbalance', 'compensate', 'counteract']
▁Stack	['▁mound', '▁heap', '▁pile', '▁hill']
▁combination	['▁compound', '▁fusion', '▁mixture', '▁blend']
▁movement	['▁mov', '▁activity', '▁action', '▁motion']
Spec	['specification']
retch	['vomit', 'spew', 'he', 'puke']
Offset	['counterbalance', 'compensate', 'counteract']
Root	['groundwork', 'base', 'foundation', 'basis']
wart	['verruca', 'ver', 'excrescence']
▁Follow	['▁Track', '▁Chase', '▁Trace', '▁Pursue']
▁Social	['▁collective', '▁communal', '▁societal', '▁co']
▁harm	['▁m', '▁hurt', '▁injury', '▁damage']
resource	['stock', 'supply', 'source', 'reserve']
▁Department	['▁section', '▁office', '▁branch', '▁division', '▁bureau']
▁Update	['▁modernize', '▁refresh', '▁reju', '▁upgrade']
▁Texas	['▁Syn', '▁Input:', '▁100']
▁reve	['▁Syn', '▁Input:', '▁100']
▁Pos	['▁Syn', '▁Input:', '▁100']
▁shot	['▁discharged', '▁fired']
▁repeated	['▁reiterated', '▁recurrent']
▁recently	['▁late', '▁lately', '▁just', '▁freshly']
aks	['ask', 'Synonym', 'Input:']
▁cha	['▁Syn', '▁Input:', '▁123']
▁tend	['▁attend', '▁nurture', '▁care', '▁cherish']
album	['phonograph record', 'record', 'LP', 'disc']
maps	['diagrams', 'charts', 'plans', 'sch']
▁units	['▁Input:', '▁100']
▁Information	['▁data', '▁intelligence', '▁news', '▁facts']
ikon	['li', 'picture', 'icon', 'portrait', 'image']
▁tan	['▁brownish', '▁bronze', '▁brown']
▁docker	['▁Syn', '▁Input:', '▁100']
▁audio	['▁acoustic', '▁aud', '▁sound', '▁aural']
▁coordinates	[]
▁replied	['▁rejo', '▁responded', '▁retorted', '▁answered']
▁Government	['▁administration', '▁authority', '▁bureaucracy']
▁Academy	['▁university', '▁institute', '▁college', '▁school']
▁infinite	['▁boundless', '▁endless', '▁limitless', '▁un']
▁ga	['▁10', '▁Input:', '▁georgia']
▁adjust	['▁modify', '▁regulate', '▁adapt', '▁alter']
▁merge	['▁unite', '▁conjoin', '▁join', '▁combine']
▁poster	['▁notice', '▁placard', '▁bill', '▁ad']
▁ordered	['▁commanded', '▁request', '▁directed', '▁instructed']
lets	['permits', 'allows', 'enables', 'grants']
Selector	['Syn', 'Input:', '100']
▁existence	['▁life', '▁being', '▁lifetime', '▁living']
download	['upload', 'transfer']
▁lemma	['▁Syn', '▁Input:', '▁100']
▁Arab	['▁Arabic', '▁Arabian']
byte	['octad', 'octet']
▁mad	['▁angry', '▁ir', '▁enraged', '▁furious']
▁spent	['▁expended', '▁wasted', '▁used', '▁consumed']
Enter	['Go', 'Get in', 'Go in', 'Come in']
When	['Whenever']
MI	['Michigan', 'Synonym', 'Input:']
▁fellow	['▁companion', '▁friend', '▁comrade', '▁associate']
Cache	['stockpile', 'store', 'res', 'hoard']
▁extended	['▁lengthened', '▁stretched', '▁prolonged']
▁blood	['▁gore', '▁hemoglobin', '▁claret']
▁mapping	['▁charting', '▁plot', '▁plotting']
▁manifest	['▁obvious', '▁clear', '▁apparent', '▁evident']
▁filename	['▁file-name', '▁file name', '▁file_name']
▁filled	['▁packed', '▁crammed', '▁stuffed']
▁raised	['▁hoisted', '▁he', '▁elevated', '▁lifted']
▁mobile	['▁cellphone', '▁cell', '▁cellular']
▁Right	['▁Exact', '▁P', '▁Accurate', '▁Correct']
▁temperature	['▁warmth', '▁heat', '▁heat index']
▁somehow	['▁in some way', '▁somehow or other', '▁in']
▁Spanish	['▁Hispan', '▁Castilian', '▁Iberian']
▁chosen	['▁designated', '▁picked', '▁selected', '▁elected']
▁horse	['▁st', '▁equus caballus', '▁steed']
▁originally	['▁initially', '▁primarily', '▁primord']
Hash	['Synonyms', 'Input:', 'CAT']
▁Wolf	['▁Canis ruf', '▁Canis lupus']
▁Young	['▁adolescent', '▁youthful', '▁juvenile']
Vari	['Syn', 'Input:', '100']
▁capture	['▁catch', '▁snatch', '▁nab', '▁seize']
▁Jane	['▁Syn', '▁Input:', '▁100']
Interface	['Input:', 'Synonyms:', 'C']
▁boundary	['▁border', '▁limit', '▁frontier', '▁bound', '▁edge']
Now	['At this time', 'At this moment', 'Presently']
▁Cat	['▁pussy', '▁feline', '▁puss']
AGE	['DATE', 'ERA', 'TIME', 'YEAR']
▁rights	['▁liberties', '▁freedoms', '▁privileges']
Scroll	['roll of parch', 'roll', 'roll of paper']
▁science	['▁learning', '▁knowledge', '▁discipline', '▁study']
▁behaviour	['▁conduct', '▁demeanor', '▁manner', '▁action']
▁Queen	['▁em', '▁monarch', '▁ruler', '▁sovereign']
pay	['compensate', 'remunerate', 'reward']
▁recorded	['▁taped', '▁documented', '▁filmed', '▁mem']
▁Thread	['▁cord', '▁twine', '▁yarn', '▁string']
▁scenario	['▁state', '▁situation', '▁condition', '▁circumstance']
▁concent	['▁center', '▁focus', '▁concentrate']
Storage	['memory device', 'memory', 'storage device', 'memory storage']
▁Series	['▁Chain', '▁Succession', '▁Sequence', '▁String']
▁gas	['▁petrol', '▁fuel', '▁gasoline', '▁gasol']
rate	['charge', 'tar', 'cost', 'price', 'fee']
HTTP	['Transfer', 'Protocol', 'Input:', 'Hypertext']
windows	['casements', 'panes', 'sashes']
aped	['imitated', 'mimicked', 'copied']
▁Western	['▁Occidental', '▁Oriental', '▁Eastern']
▁Such	['▁Similar', '▁Same', '▁Like', '▁Identical']
Writer	['novelist', 'essay', 'author', 'scribe']
▁canvas	['▁duck canvas', '▁duck', '▁sailcloth']
scroll	['roll of parch', 'roll', 'roll of paper']
▁Elect	['▁pick', '▁nomin', '▁choose', '▁select', '▁vote']
▁Herm	['▁Syn', '▁Input:', '▁100']
▁Command	['▁mand', '▁order', '▁instruction', '▁directive']
▁Child	['▁infant', '▁youngster', '▁kid', '▁b']
utch	['Syn', 'Input:', '123']
▁Tag	['▁ticket', '▁label', '▁sticker', '▁marker']
▁mail	['▁post', '▁epistle', '▁correspondence']
screen	['display', 'television', 'panel', 'monitor']
▁suggestions	['▁advice', '▁recommendations', '▁proposals']
chester	['Syn', 'Input:', '100']
person	['human being', 'individual', 'human body', 'human']
zel	['Syn', 'Input:', '100']
▁waiting	['▁looking forward to', '▁expecting', '▁anticipating']
▁Albert	['▁Syn', '▁Input:', '▁100']
▁sentence	['▁phrase', '▁clause']
▁linux	['▁Syn', '▁Input:', '▁100']
▁Italian	['▁100', '▁Input:']
Files	['Documents', 'Re', 'Papers', 'Records']
▁noticed	['▁observed', '▁discovered', '▁perceived']
bing	['Synonyms', 'Input:']
▁Research	['▁Study', '▁Explore', '▁Investigate']
▁alter	['▁modify', '▁change', '▁amend', '▁revise']
heel	['back', 'rear', 'back end', 'rear end']
▁Process	['▁Techni', '▁Method', '▁Procedure', '▁System']
▁battle	['▁fight', '▁combat', '▁strugg', '▁conflict']
▁Africa	['▁A', '▁Input:', '▁Synonyms:']
▁Anne	['▁Syn', '▁Input:', '▁100']
▁geld	['▁castrate', '▁spay', '▁neuter']
▁docs	['▁files', '▁papers', '▁documents', '▁records']
Types	['varieties', 'kinds', 'sorts', 'classes']
▁retrieve	['▁recover']
▁Official	['▁formalized', '▁authoritative', '▁formal']
▁Input	['▁Input:', '▁Synonyms:']
step	['footstep', 'stride', 'tread', 'pace']
▁laugh	['▁giggle', '▁chuckle', '▁cackle']
Media	['news', 'news media', 'press', 'journalism']
rough	['rugged', 'coarse', 'harsh']
▁Should	['▁Ought', '▁Must', '▁Need']
▁Content	['▁glad', '▁happy', '▁pleased', '▁satisfied']
▁somewhat	['▁rather', '▁fairly', '▁pre']
▁Cer	['▁Syn', '▁Input:', '▁100']
Background	['past', 'history', 'record', 'biography']
▁modules	['▁sections', '▁parts', '▁segments', '▁units', '▁components']
▁zn	['▁zinc', '▁Input:', '▁100']
PR	['publicity', 'publicity relations', 'public relations']
▁smooth	['▁sleek', '▁polished', '▁glossy']
engine	['motor', 'auto', 'automobile', 'motorcar']
▁lived	['▁inhabited', '▁dwelled', '▁resided']
Account	['checking', 'bank account', 'deposit account']
Details	['specifics', 'particulars', 'information', 'facts']
▁tells	['▁informs', '▁relates', '▁reveals']
▁Output	['▁consequence', '▁product', '▁result', '▁outcome']
Here	['There', 'This', 'These', 'Those']
▁Foundation	['▁groundwork', '▁underpinning', '▁basis', '▁fund']
▁decision	['▁resolution', '▁r', '▁judgment', '▁determination']
▁dependency	['▁addiction', '▁habit', '▁dependence']
oval	['elliptical', 'ellipsoid', 'elliptic']
▁excel	['▁surpass', '▁outdo', '▁outshine']
▁Element	['▁ingredient', '▁factor', '▁component', '▁part']
Queue	['waiting line', 'waiting list', 'line']
▁directed	['▁steered', '▁managed', '▁controlled', '▁guided']
▁advantage	['▁profit', '▁gain', '▁benefit']
prod	['nudge', 'poke', 'jab']
▁Face	['▁countenance', '▁visage', '▁physiogn']
▁span	['▁stretch', '▁reach', '▁extend', '▁lengthen']
▁zone	['▁sector', '▁district', '▁region', '▁area']
▁attach	['▁fasten', '▁affix', '▁join', '▁fix']
▁management	['▁administration', '▁direction', '▁control', '▁supervision', '▁g']
Ac	['AC']
once	['earlier', 'previously', 'formerly', 'before']
halt	['stop', 'cease', 'end', 'finish']
▁raw	['▁unprep', '▁unprocessed', '▁uncooked']
law	['statute', 'legisl', 'jurisprudence']
Sheet	['bedsp', 'bedclothes', 'bedding']
▁mission	['▁duty', '▁assignment', '▁job', '▁task']
▁camera	['▁ph', '▁photographic equipment', '▁photographic camera']
▁honor	['▁esteem', '▁ad', '▁respect', '▁reverence']
▁appointed	['▁allocated', '▁allotted', '▁designated', '▁assigned']
▁Roma	['▁Rome', '▁Input:', '▁100']
linear	['rectilinear', 'direct', 'straight']
Rows	['strings', 'ranks', 'lines', 'files', 'series']
▁covered	['▁enclosed', '▁wrapped', '▁enveloped', '▁sh']
▁tid	['▁tideway', '▁tidewater', '▁tide']
▁Rud	['▁Syn', '▁Input:', '▁100']
▁failure	['▁dis', '▁collapse', '▁breakdown', '▁defeat']
▁paint	['▁coat', '▁p', '▁pigment', '▁color']
▁serious	['▁weighty', '▁grave', '▁earnest', '▁solemn']
▁cursor	['▁marker', '▁icon', '▁pointer', '▁symbol', '▁indicator']
▁discussion	['▁con', '▁debate', '▁dialogue', '▁conversation']
▁cried	['▁wept', '▁wailed', '▁sobbed']
erie	['Syn', 'Input:', '100']
▁Develop	['▁Construct', '▁Create', '▁Make', '▁Build', '▁Produ']
▁rewrite	['▁reword', '▁rework', '▁rephrase']
wait	['stay', 'remain', 'linger']
▁Harry	['▁Syn', '▁Input:', '▁100']
▁equations	['▁formulas', '▁equations\n\nInput: 1']
▁plane	['▁aeroplane', '▁airliner', '▁aircraft']
▁angle	['▁crook', '▁corner', '▁bend', '▁nook']
▁trees	['▁grove', '▁wood', '▁timber', '▁forest']
VD	['sexually transmitted disease', 'venereal disease']
pert	['sassy', 'che', 'saucy', 'bold']
▁documents	['▁files', '▁papers', '▁records', '▁reports']
▁implements	['▁performs', '▁executes', '▁carries out', '▁ac']
▁Walter	['▁Syn', '▁Input:', '▁100']
▁chap	['▁bloke', '▁fellow', '▁lad', '▁guy']
plex	['Syn', 'Input:', '100']
▁magnet	['▁lodestone', '▁mag', '▁magnetic needle']
▁highly	['▁greatly', '▁extremely', '▁exceed', '▁very']
▁dress	['▁robe', '▁gar', '▁gown', '▁frock']
▁restart	['▁relaunch', '▁re', '▁reopen', '▁reboot']
Render	['Pro', 'Deliver', 'Present', 'Offer']
Callback	['CALLBACK', 'Syn', 'Input:']
iso	['isolation', 'isometric', 'isotope']
▁derived	['▁inferred', '▁concluded', '▁reason', '▁deduced']
▁Change	['▁modify', '▁rear', '▁reform', '▁alter']
▁Request	['▁Ask', '▁Petition', '▁Demand']
▁Active	['▁energetic', '▁lively', '▁vigorous']
▁tourn	['▁tourney']
▁particularly	['▁notably', '▁especially', '▁distinct', '▁specifically']
abc	['Syn', 'Input:', '123']
Helper	['attendant', 'aide', 'servant', 'assistant']
Rule	['principle', 'law', 'standard', 'regulation']
▁wave	['▁swell', '▁ripple', '▁undulation']
▁logs	['▁f', '▁lumber', '▁timber', '▁firewood']
▁Mol	['▁mole', '▁Input:', '▁100']
▁permission	['▁sanction', '▁authorization', '▁approval', '▁consent']
▁soul	['▁spirit', '▁mind', '▁psyche', '▁heart']
▁guide	['▁conduct', '▁escort', '▁usher', '▁le']
▁evidence	['▁testimony', '▁witness', '▁proof']
▁authentication	['▁confirmation', '▁verification', '▁certification', '▁validation']
▁IF	['▁IN CASE', '▁IN', '▁IN THE EVENT']
IA	['Synonyms', 'Iowa', 'Input:', 'I']
▁Ban	['▁prohibit', '▁veto', '▁forbid', '▁bar']
▁segment	['▁portion', '▁section', '▁division', '▁part']
▁players	['▁athletes', '▁participants', '▁performers']
isi	['Syn', 'Input:', '100']
▁stuck	['▁jammed', '▁st']
Any	['Anyone', 'Some', 'Every', 'All']
▁peace	['▁harmony', '▁seren', '▁tranquility']
▁Site	['▁area', '▁location', '▁spot', '▁position', '▁place']
▁Live	['▁exist', '▁rem', '▁stay', '▁survive']
▁Ali	['▁Cassius Clay', '▁Muhammad Ali', '▁Cass']
▁Prince	['▁monarch', '▁r', '▁royal', '▁sovereign']
▁Alt	['▁Alt key\n\nInput', '▁Option key', '▁Option']
▁pros	['▁assets', '▁advantages', '▁benefits', '▁merits']
aby	['Syn', 'Input:', '100']
rane	['Syn', 'Input:', '100']
▁powers	['▁forces', '▁strengths', '▁energies']
▁Path	['▁course', '▁road', '▁route', '▁way', '▁track']
▁Word	['▁phrase', '▁utterance', '▁expression', '▁term']
▁transaction	['▁deal', '▁exchange', '▁trade', '▁bargain']
▁causing	['▁generating', '▁creating', '▁producing', '▁making']
▁depth	['▁profundity', '▁deepness', '▁profoundness']
▁rare	['▁scarce', '▁uncommon', '▁infrequent']
▁bon	['▁fine', '▁okay', '▁ok', '▁good']
▁Carlos	['▁Syn', '▁Input:', '▁100']
▁specifically	['▁precisely', '▁expressly', '▁particularly']
KEY	['SECRET', 'PASSWORD', 'KEYWORD']
▁stars	['▁lumin', '▁celebs', '▁celebrities']
▁configure	['▁fit', '▁set', '▁set up', '▁arrange']
▁agent	['▁representative', '▁dealer', '▁broker', '▁factor']
▁explained	['▁elucidated', '▁clarified', '▁expounded']
▁coefficient	['▁proport', '▁factor', '▁ratio', '▁quotient']
▁Option	['▁Altern', '▁Choice', '▁Pick', '▁Selection']
▁rob	['▁th', '▁steal', '▁filch', '▁burgle']
dependency	['addiction', 'habit', 'dependence']
▁Cur	['▁mutt', '▁mongrel']
▁ideal	['▁im', '▁faultless', '▁flawless', '▁perfect']
Sw	['South-West', 'South', 'Southwest']
▁Captain	['▁skipper', '▁commander', '▁chief', '▁master']
Jo	['Jody', 'Josie', 'Josephine']
▁faith	['▁conviction', '▁belief', '▁confidence', '▁trust']
▁fresh	['▁novel', '▁modern', '▁recent', '▁new']
contents	['ingredients', 'const', 'substance', 'material']
▁Document	['▁memor', '▁paper', '▁report', '▁file', '▁record']
collection	['assemblage', 'accumulation', 'assortment']
ruck	['disorder', 'jumble', 'confusion', 'mess']
Your	['Yours', 'Input:', '100']
uma	['Syn', 'Input:', '100']
Enabled	['Authorized', 'Gr', 'Allowed', 'Permitted']
▁Engine	['▁power source', '▁powerplant', '▁motor', '▁power unit']
archive	['repository', 'depot', 'storehouse', 'depository']
▁frequency	['▁tempo', '▁rate', '▁rh', '▁speed', '▁pace']
▁kor	['▁Syn', '▁Input:', '▁100']
Sing	['warble', 'carol', 'croon', 'chant']
month	['calendar month', 'calendar']
▁Would	['▁Might', '▁Could', '▁Should']
▁impact	['▁re', '▁influence', '▁effect', '▁impression']
▁apt	['▁fit', '▁pro', '▁suitable', '▁appropriate']
▁motion	['▁gesture', '▁action', '▁movement']
shift	['transpose', 'transfer', 'change', 'move']
▁bash	['▁gala', '▁revel', '▁fete', '▁party']
hidden	['masked', 'covert', 'secret', 'concealed']
▁dove	['▁columba', '▁pigeon', '▁bird']
▁paths	['▁roads', '▁trails', '▁routes', '▁ways']
Category	['class', 'section', 'sort', 'group', 'division']
▁cry	['▁sob', '▁weep', '▁baw', '▁wail']
▁marked	['▁ind', '▁distinguished', '▁designated', '▁noted']
▁lan	['▁10', '▁area', '▁local', '▁network', '▁Input:']
▁teams	['▁squads', '▁crews', '▁units', '▁groups']
▁TABLE	['▁BOARD', '▁SURFACE', '▁DESK']
▁Bell	['▁Synonyms', '▁Input:', '▁CAT']
▁countries	['▁king', '▁states', '▁nations', '▁lands', '▁realms']
▁Jones	['▁Syn', '▁Input:', '▁100']
white	['fair', 'pale', 'al', 'snowy']
Html	['Synonym', 'HTML', 'Input:', 'C++']
Press	['compress', 'squeeze', 'crush']
▁Blue	['▁cobalt', '▁cerulean', '▁azure']
Operation	['function', 'action', 'process', 'procedure', 'activity']
▁Font	['▁Typeface', '▁Face', '▁Type', '▁Fount']
▁theme	['▁topic', '▁subject', '▁idea', '▁motif', '▁con']
▁blocks	['▁obstructs', '▁hinders', '▁impedes']
▁manage	['▁oper', '▁run', '▁administer', '▁control', '▁handle']
cole	['colewort', 'kale', 'brassica o']
▁schema	['▁design', '▁layout', '▁diagram', '▁blueprint', '▁plan']
▁whenever	[]
▁discovered	['▁uncovered', '▁re', '▁found', '▁disclosed']
▁prefix	['▁addition', '▁add-on', '▁affix']
global	['worldwide', 'universal', 'cos', 'international']
roke	['Syn', 'Input:', '100']
▁Before	['▁Formerly', '▁Previously', '▁Earlier']
▁Dig	['▁excavate', '▁ex']
▁rapid	['▁h', '▁swift', '▁speedy', '▁fast', '▁quick']
equals	['matches', 'corresponds', 'parallels']
▁attached	['▁fastened', '▁affixed', '▁fixed', '▁joined']
Expression	['communication', 'declaration', 'articulation']
▁stock	['▁inventory', '▁supply', '▁store', '▁reserve']
pet	['critter', 'animal', 'creature', 'beast']
Book	['tome', 'novel', 'volume', 'text']
▁Jacob	['▁Syn', '▁Input:', '▁100']
▁Product	['▁merchandise', '▁good', '▁commodity']
▁learned	['▁informed', '▁educated', '▁knowledgeable', '▁sch']
▁police	['▁law', '▁constabulary', '▁police force']
▁Item	['▁object', '▁thing', '▁unit', '▁article', '▁piece']
▁eye	['▁optic', '▁orb', '▁peeper', '▁oculus']
▁fest	['▁cele', '▁gala', '▁fete', '▁festival']
Cond	['Syn', 'Input:', '100']
▁extend	['▁stretch', '▁elong', '▁prolong', '▁lengthen']
▁Frances	['▁Syn', '▁Input:', '▁100']
▁Find	['▁Locate', '▁Un', '▁Detect', '▁Discover']
▁motor	['▁engine', '▁motorcar', '▁automobile', '▁car']
Hello	['Syn', 'Input:', '123']
▁resid	['▁Syn', '▁Input:', '▁100']
▁finale	['▁ending', '▁conclusion', '▁termination', '▁finish']
▁Hard	['▁dem', '▁challenging', '▁tough', '▁difficult']
▁Force	['▁might', '▁power', '▁strength', '▁energy']
▁evening	['▁twilight', '▁nightfall', '▁dusk']
Why	['When', 'What', 'How', 'Where', 'Who']
▁conn	['▁jail', '▁penitentiary', '▁prison']
schema	['design', 'layout', 'diagram', 'blueprint', 'plan']
▁flash	['▁spark', '▁glint', '▁gleam', '▁glitter']
skip	['leap', 'jump', 'hop', 'spring']
▁minute	['▁moment', '▁jiff', '▁instant', '▁second']
▁Major	['▁important', '▁notable', '▁significant', '▁major']
cv	['resume\n\nInput: c', 'resume']
Native	['aboriginal', 'indigenous']
▁Button	['▁fastener', '▁catch', '▁toggle', '▁clasp']
settings	['options', 'preferences', 'parameters', 'configuration']
▁Access	['▁Entrance', '▁Approach', '▁Admission']
▁quality	['▁value', '▁merit', '▁excellence', '▁virtue']
props	['buttr', 'braces', 'stays', 'supports']
Float	['waft', 'hover', 'dance', 'drift']
pattern	['design', 'figure', 'form', 'motif', 'model']
Stand	['stay', 'continue', 'remain', 'endure']
▁technique	['▁system', '▁process', '▁way', '▁procedure', '▁method']
Login	['Log in', 'Sign in', 'Sign on', 'Log']
▁minister	['▁cur', '▁rector', '▁vicar', '▁pastor']
▁curl	['▁whor', '▁twist', '▁coil', '▁loop']
kan	['Syn', 'Input:', '100']
▁maps	['▁diagrams', '▁charts', '▁plans', '▁sch']
console	['cheer', 'reassure', 'comfort']
bury	['inter', 'entomb', 'inhume', 'in']
▁LE	["▁L'", '▁LA', '▁LOS', '▁THE']
▁ta	['▁thx', '▁th', '▁thanks', '▁thank you']
▁Region	['▁sector', '▁district', '▁area', '▁zone']
▁compact	['▁dense', '▁thick', '▁tight', '▁pack', '▁close']
▁labels	['▁labels\n\nInput', '▁tags', '▁stickers']
▁Exec	['▁Execute', '▁Carry out', '▁Perform']
mag	['review', 'periodical', 'journal', 'magazine']
before	['prior', 'previous', 'former', 'preceding']
▁stopped	['▁ceased', '▁halted', '▁ended', '▁finished']
▁refresh	['▁reinv', '▁revive', '▁rejuvenate']
▁Tab	['▁tablet', '▁pill', '▁lozenge']
▁founded	['▁created', '▁established', '▁formed', '▁instituted']
▁Early	['▁Premature', '▁Prem', '▁Prematurely']
Dom	['abode', 'home', 'residence', 'house']
▁decide	['▁settle', '▁jud', '▁determine', '▁resolve', '▁rule']
▁understood	['▁comprehended', '▁apprehended', '▁grasped']
was	['being\n\nInput', 'were', 'been']
▁enemy	['▁foe', '▁opponent', '▁adversary']
▁programs	['▁systems', '▁packages', '▁software', '▁util', '▁applications']
▁mask	['▁disguise', '▁cover', '▁concealment']
cam	['webcam\n\nInput', 'video camera', 'camera']
▁widget	['▁Syn', '▁Input:', '▁100']
rance	['Syn', 'Input:', '100']
TYPE	['WRITE', 'KEYBOARD', 'KEY']
▁bill	['▁charge', '▁check', '▁statement', '▁account', '▁invoice']
▁contained	['▁housed', '▁stored', '▁held', '▁kept']
Close	['Near', 'Narrow', 'Shut', 'T']
rug	['mat', 'floor mat', 'carpet', 'floor covering']
▁sight	['▁glimp', '▁view', '▁eyesight', '▁vision']
▁deleted	['▁removed', '▁erased', '▁el']
▁Auto	['▁machine', '▁motorcar', '▁automobile', '▁car']
▁meter	['▁standard', '▁metre', '▁measure', '▁yardstick']
▁pent	['▁five-sided']
Sum	['aggregate', 'amount', 'whole', 'total']
▁Little	['▁tiny', '▁miniscule', '▁small', '▁minute']
night	['dusk', 'twil', 'evening', 'darkness']
▁mostly	['▁principally', '▁largely', '▁generally']
terne	['lead-gray', 'lead-coloured']
▁corner	['▁nook', '▁angle', '▁bend', '▁recess']
▁improve	['▁ameliorate', '▁better', '▁enhance']
▁installation	['▁setup', '▁installment', '▁installing']
▁critic	['▁analyst', '▁p', '▁reviewer', '▁commentator']
▁Fri	['▁Input:', '▁Friday', '▁100']
▁Intent	['▁aim', '▁goal', '▁objective', '▁purpose']
safe	['guarded', 'secure', 'protected', 'sheltered']
▁greatly	['▁signific', '▁substantially', '▁considerably']
▁coach	['▁instructor', '▁trainer', '▁tutor']
▁toward	['▁towards']
Home	['abode', 'dwell', 'residence', 'house']
▁Boolean	['▁Input:', '▁100']
▁mock	['▁ridicule', '▁deride', '▁scoff']
▁appreciate	['▁value', '▁prize', '▁cher', '▁esteem']
▁Cross	['▁Crucifix']
▁Take	['▁Grab', '▁Seize', '▁Catch', '▁Grasp']
DP	['Syn', 'Input:']
▁Vert	['▁Perpendicular', '▁Vertical', '▁Upright']
▁bird	['▁fowl', '▁fow']
▁dynamically	['▁vigorously', '▁energetically', '▁v']
▁Burg	['▁city', '▁metropolis', '▁borough', '▁town']
▁dog	['▁canine', '▁pooch', '▁hound', '▁m']
Bytes	['Input:', 'Synonyms:', 'C']
reland	['Syn', 'Input:', '100']
▁guitar	['▁viola', '▁vihuela', '▁lute']
▁regarding	['▁as for', '▁with regard to', '▁concerning', '▁about']
▁updates	['▁modifies', '▁revises', '▁upgrades']
▁cold	['▁frosty', '▁frigid', '▁chilly']
▁Given	['▁Offered', '▁Presented', '▁Provided']
hin	['Syn', 'Input:', '100']
▁feeling	['▁emotion', '▁sentiment', '▁pass', '▁sensation']
bool	['Synonyms', 'boolean', 'Input:']
initial	['primary', 'original', 'prime', 'primal', 'first']
▁Anna	['▁Syn', '▁Input:', '▁100']
standing	['vertical', 'erect', 'upright', 'per']
checked	['examined', 'scrutin', 'inspected']
▁permissions	['▁consents', '▁authorizations', '▁allowances', '▁lic']
▁Monte	['▁Syn', '▁Input:', '▁100']
plus	['addition', 'add', 'sum', 'summation']
ea	['every\n\nInput: a\nSyn', 'each']
sample	['specimen', 'example', 'instance', 'illustration']
oral	['spoken', 'vocal', 'uttered', 'verbal']
▁Simon	['▁Syn', '▁Input:', '▁100']
fast	['rapid', 'quick', 'speedy', 'swift']
▁architecture	['▁design', '▁structure', '▁form', '▁construction', '▁pattern']
▁topic	['▁issue', '▁question', '▁matter', '▁subject', '▁theme']
▁disable	['▁inc', '▁incapacitate', '▁cripple']
▁Control	['▁manage', '▁regulate', '▁command', '▁govern']
▁creation	['▁creativity', '▁innovation', '▁invention']
▁hyper	['▁overexcited', '▁overst', '▁overactive']
aram	['a', 'Input:', 'Synonyms:']
▁Bot	['▁mechanical', '▁android', '▁automaton', '▁robot']
▁Their	['▁Them', '▁Theirs\n\nInput', '▁They']
anne	['Input:', 'an', 'Synonyms:']
▁PM	['▁post meridiem', '▁evening', '▁afternoon']
CHAR	['LETTER', 'SYMB', 'CHARACTER']
Well	['Fine', 'Good', 'Sound', 'Healthy']
▁supports	['▁backs', '▁upholds', '▁sustains']
manual	['guide', 'book', 'instructions', 'handbook']
